INSERT INTO tb_vendas_itens 
(vite_quantidade, vite_valor_parcial) VALUES 
('26716', '33.00'),
('32462', '33.00'),
('76322', '11.00'),
('79048', '37.00'),
('40525', '24.00'),
('90459', '21.00'),
('72892', '24.00'),
('67953', '29.00'),
('24624', '11.00'),
('17280', '31.00'),
('13829', '18.00'),
('49236', '38.00'),
('31759', '28.00'),
('13057', '20.00'),
('73465', '2.00'),
('94583', '17.00'),
('40613', '44.00'),
('98429', '49.00'),
('98810', '39.00'),
('10525', '40.00'),
('95553', '46.00'),
('68860', '9.00'),
('91643', '14.00'),
('20778', '1.00'),
('12122', '8.00'),
('74684', '30.00'),
('34631', '1.00'),
('29935', '10.00'),
('60027', '24.00'),
('35787', '34.00'),
('46842', '41.00'),
('65813', '46.00'),
('23982', '45.00'),
('11600', '20.00'),
('96841', '41.00'),
('88951', '17.00'),
('35496', '31.00'),
('94922', '21.00'),
('35806', '7.00'),
('75864', '33.00'),
('75489', '5.00'),
('40322', '23.00'),
('25384', '33.00'),
('99700', '37.00'),
('98152', '7.00'),
('62628', '26.00'),
('95505', '9.00'),
('21416', '34.00'),
('67637', '45.00'),
('34565', '18.00'),
('46634', '15.00'),
('20016', '45.00'),
('53758', '37.00'),
('25412', '9.00'),
('89752', '40.00'),
('68066', '32.00'),
('25884', '50.00'),
('98830', '33.00'),
('89044', '23.00'),
('39963', '29.00'),
('42929', '12.00'),
('20663', '16.00'),
('46950', '5.00'),
('58202', '15.00'),
('90285', '14.00'),
('90561', '23.00'),
('76034', '23.00'),
('17213', '39.00'),
('81599', '8.00'),
('11157', '36.00'),
('60131', '29.00'),
('35503', '6.00'),
('61396', '24.00'),
('69785', '3.00'),
('76983', '21.00'),
('92777', '41.00'),
('28627', '4.00'),
('34438', '5.00'),
('76103', '6.00'),
('10802', '29.00'),
('69326', '11.00'),
('42508', '1.00'),
('24189', '28.00'),
('36277', '43.00'),
('77309', '22.00'),
('16402', '25.00'),
('43877', '7.00'),
('43484', '1.00'),
('97959', '19.00'),
('40833', '30.00'),
('85606', '31.00'),
('82578', '42.00'),
('63780', '21.00'),
('12609', '15.00'),
('54002', '25.00'),
('35736', '12.00'),
('59574', '39.00'),
('26758', '36.00'),
('52582', '29.00'),
('17171', '28.00'),
('33755', '28.00'),
('22092', '18.00'),
('12528', '43.00'),
('95251', '23.00'),
('88582', '36.00'),
('57763', '46.00'),
('12426', '41.00'),
('66869', '6.00'),
('99672', '35.00'),
('77673', '14.00'),
('61418', '28.00'),
('46356', '35.00'),
('94124', '1.00'),
('80170', '18.00'),
('45779', '4.00'),
('66408', '23.00'),
('16876', '18.00'),
('30970', '47.00'),
('12202', '6.00'),
('70712', '43.00'),
('42537', '28.00'),
('69598', '44.00'),
('62156', '44.00'),
('46269', '31.00'),
('69335', '31.00'),
('12596', '46.00'),
('90155', '37.00'),
('87311', '6.00'),
('36194', '46.00'),
('40825', '47.00'),
('47597', '6.00'),
('78051', '14.00'),
('19675', '39.00'),
('58951', '24.00'),
('95072', '10.00'),
('60503', '37.00'),
('89199', '32.00'),
('74988', '36.00'),
('44915', '48.00'),
('78593', '46.00'),
('84796', '16.00'),
('86468', '19.00'),
('34433', '3.00'),
('16798', '43.00'),
('95289', '33.00'),
('41465', '40.00'),
('62603', '40.00'),
('65421', '15.00'),
('30973', '36.00'),
('17471', '28.00'),
('80132', '41.00'),
('39451', '11.00'),
('31957', '48.00'),
('15792', '21.00'),
('20753', '24.00'),
('28421', '40.00'),
('92327', '10.00'),
('56403', '36.00'),
('33585', '36.00'),
('56636', '17.00'),
('21819', '33.00'),
('63211', '31.00'),
('79527', '20.00'),
('67943', '8.00'),
('83493', '4.00'),
('50368', '20.00'),
('46151', '30.00'),
('44908', '39.00'),
('74212', '1.00'),
('57263', '12.00'),
('55888', '48.00'),
('83118', '19.00'),
('33451', '38.00'),
('92883', '50.00'),
('64313', '29.00'),
('98228', '35.00'),
('60033', '10.00'),
('21941', '23.00'),
('92961', '20.00'),
('20345', '6.00'),
('70816', '4.00'),
('16874', '3.00'),
('34744', '41.00'),
('87512', '32.00'),
('97220', '28.00'),
('98852', '31.00'),
('74912', '16.00'),
('14044', '8.00'),
('96847', '9.00'),
('70541', '17.00'),
('41719', '27.00'),
('52569', '30.00'),
('58718', '39.00'),
('72463', '38.00'),
('11205', '15.00'),
('51740', '38.00'),
('56411', '33.00'),
('97863', '17.00'),
('98250', '36.00'),
('71683', '41.00'),
('32927', '40.00'),
('57596', '46.00'),
('34365', '16.00'),
('13750', '12.00'),
('35173', '27.00'),
('34289', '31.00'),
('19516', '8.00'),
('44837', '2.00'),
('32882', '43.00'),
('61563', '29.00'),
('58328', '5.00'),
('24604', '27.00'),
('19366', '30.00'),
('60393', '11.00'),
('25635', '32.00'),
('72672', '36.00'),
('23296', '29.00'),
('77168', '1.00'),
('76308', '47.00'),
('65533', '4.00'),
('96959', '50.00'),
('38333', '50.00'),
('16814', '30.00'),
('87462', '22.00'),
('64946', '22.00'),
('21120', '16.00'),
('61095', '19.00'),
('89245', '6.00'),
('47634', '39.00'),
('52063', '50.00'),
('42072', '23.00'),
('77075', '30.00'),
('66004', '48.00'),
('55134', '50.00'),
('25912', '41.00'),
('33382', '24.00'),
('44606', '3.00'),
('18405', '16.00'),
('38042', '35.00'),
('10492', '35.00'),
('88479', '21.00'),
('12619', '28.00'),
('95359', '40.00'),
('97259', '21.00'),
('58530', '30.00'),
('75105', '37.00'),
('52311', '27.00'),
('12295', '20.00'),
('93641', '22.00'),
('98367', '42.00'),
('87284', '11.00'),
('79532', '25.00'),
('21149', '21.00'),
('86624', '36.00'),
('77740', '42.00'),
('87841', '47.00'),
('58267', '18.00'),
('35036', '42.00'),
('63596', '46.00'),
('82369', '20.00'),
('32859', '12.00'),
('55437', '32.00'),
('80075', '40.00'),
('89586', '20.00'),
('21113', '24.00'),
('43846', '35.00'),
('86287', '28.00'),
('89340', '1.00'),
('28187', '32.00'),
('90238', '10.00'),
('42954', '17.00'),
('79034', '9.00'),
('58900', '37.00'),
('40841', '25.00'),
('69017', '12.00'),
('40607', '2.00'),
('53756', '46.00'),
('56987', '12.00'),
('34787', '48.00'),
('86323', '29.00'),
('78597', '12.00'),
('55359', '1.00'),
('98885', '35.00'),
('60066', '23.00'),
('67565', '41.00'),
('24404', '13.00'),
('65921', '29.00'),
('23776', '46.00'),
('87727', '46.00'),
('47981', '50.00'),
('39784', '48.00'),
('52634', '43.00'),
('41839', '13.00'),
('24941', '47.00'),
('61809', '7.00'),
('60418', '32.00'),
('19878', '7.00'),
('84256', '33.00'),
('48861', '39.00'),
('95288', '7.00'),
('42360', '32.00'),
('35285', '32.00'),
('72799', '27.00'),
('47710', '30.00'),
('29752', '18.00'),
('46182', '30.00'),
('20751', '9.00'),
('50679', '11.00'),
('39824', '15.00'),
('13218', '12.00'),
('40163', '3.00'),
('65079', '3.00'),
('12075', '41.00'),
('14799', '4.00'),
('17949', '14.00'),
('40858', '13.00'),
('32329', '48.00'),
('97264', '38.00'),
('12587', '24.00'),
('66011', '19.00'),
('15691', '35.00'),
('13410', '35.00'),
('56936', '12.00'),
('49282', '19.00'),
('76027', '33.00'),
('30706', '35.00'),
('30303', '20.00'),
('81892', '22.00'),
('10860', '25.00'),
('76170', '32.00'),
('57262', '4.00'),
('27177', '5.00'),
('84020', '45.00'),
('91111', '17.00'),
('74690', '34.00'),
('28391', '33.00'),
('78290', '26.00'),
('30429', '16.00'),
('94049', '14.00'),
('86119', '41.00'),
('24830', '24.00'),
('73417', '46.00'),
('79971', '6.00'),
('96161', '30.00'),
('18344', '32.00'),
('53753', '33.00'),
('69625', '47.00'),
('76529', '45.00'),
('44968', '48.00'),
('22652', '15.00'),
('82994', '48.00'),
('58215', '4.00'),
('73296', '50.00'),
('72136', '14.00'),
('47333', '39.00'),
('49909', '9.00'),
('30831', '14.00'),
('95235', '50.00'),
('75666', '8.00'),
('64132', '49.00'),
('68555', '22.00'),
('75384', '41.00'),
('68863', '17.00'),
('21665', '14.00'),
('47736', '16.00'),
('50067', '25.00'),
('19598', '30.00'),
('25005', '41.00'),
('55664', '11.00'),
('52329', '19.00'),
('45815', '22.00'),
('65898', '30.00'),
('19183', '23.00'),
('13075', '46.00'),
('26373', '3.00'),
('53005', '24.00'),
('14929', '23.00'),
('42842', '43.00'),
('75560', '30.00'),
('94034', '5.00'),
('31789', '48.00'),
('53829', '14.00'),
('44751', '12.00'),
('19076', '25.00'),
('11832', '40.00'),
('78649', '17.00'),
('15146', '4.00'),
('37201', '1.00'),
('39689', '25.00'),
('49516', '17.00'),
('20904', '39.00'),
('99496', '44.00'),
('56474', '32.00'),
('23834', '15.00'),
('79030', '34.00'),
('48167', '5.00'),
('35899', '15.00'),
('16885', '31.00'),
('49172', '19.00'),
('49818', '23.00'),
('91497', '50.00'),
('79244', '15.00'),
('73237', '14.00'),('86421', '39.00'),
('68391', '19.00'),
('91985', '33.00'),
('40610', '26.00'),
('99063', '37.00'),
('69482', '38.00'),
('93516', '24.00'),
('46291', '33.00'),
('35538', '27.00'),
('48161', '4.00'),
('48915', '36.00'),
('57651', '15.00'),
('89294', '27.00'),
('22146', '6.00'),
('12396', '50.00'),
('83384', '15.00'),
('66212', '27.00'),
('20154', '18.00'),
('76123', '42.00'),
('11201', '22.00'),
('62955', '24.00'),
('73114', '10.00'),
('10702', '44.00'),
('23802', '22.00'),
('16273', '22.00'),
('49030', '30.00'),
('19530', '48.00'),
('55238', '42.00'),
('41938', '20.00'),
('37349', '40.00'),
('20489', '10.00'),
('85583', '38.00'),
('38116', '16.00'),
('51369', '47.00'),
('25486', '23.00'),
('16877', '44.00'),
('33866', '27.00'),
('68488', '9.00'),
('24249', '5.00'),
('69018', '6.00'),
('39534', '42.00'),
('97771', '26.00'),
('72279', '18.00'),
('78045', '20.00'),
('24002', '28.00'),
('49514', '6.00'),
('59848', '24.00'),
('51549', '50.00'),
('31453', '26.00'),
('71276', '12.00'),
('20909', '24.00'),
('96161', '8.00'),
('62849', '13.00'),
('25147', '1.00'),
('99538', '5.00'),
('49376', '14.00'),
('79032', '33.00'),
('24515', '6.00'),
('76680', '11.00'),
('32336', '31.00'),
('35555', '7.00'),
('94868', '29.00'),
('61691', '39.00'),
('51244', '1.00'),
('29692', '41.00'),
('15377', '1.00'),
('89260', '50.00'),
('91721', '46.00'),
('75775', '24.00'),
('94538', '39.00'),
('87677', '8.00'),
('26666', '16.00'),
('18686', '42.00'),
('32576', '27.00'),
('92112', '32.00'),
('29939', '17.00'),
('47666', '7.00'),
('78306', '31.00'),
('80854', '10.00'),
('70378', '12.00'),
('38244', '49.00'),
('86290', '47.00'),
('45792', '5.00'),
('93564', '40.00'),
('57244', '37.00'),
('75844', '29.00'),
('33941', '27.00'),
('10231', '2.00'),
('37316', '34.00'),
('89596', '8.00'),
('24737', '49.00'),
('93529', '34.00'),
('15392', '19.00'),
('27525', '49.00'),
('93612', '49.00'),
('44327', '31.00'),
('21420', '29.00'),
('99722', '1.00'),
('16652', '14.00'),
('70365', '5.00'),
('90064', '21.00'),
('38760', '17.00'),
('33602', '11.00'),
('91812', '18.00'),
('56316', '17.00'),
('75749', '39.00'),
('68293', '35.00'),
('34491', '42.00'),
('16525', '26.00'),
('37936', '2.00'),
('28236', '40.00'),
('23804', '28.00'),
('23532', '42.00'),
('48567', '23.00'),
('85610', '35.00'),
('37038', '33.00'),
('38170', '37.00'),
('80705', '35.00'),
('24325', '15.00'),
('86699', '35.00'),
('34331', '7.00'),
('21670', '7.00'),
('69864', '11.00'),
('12679', '38.00'),
('93630', '20.00'),
('84694', '17.00'),
('35934', '48.00'),
('84255', '10.00'),
('33840', '9.00'),
('76844', '43.00'),
('39836', '42.00'),
('21101', '20.00'),
('69987', '6.00'),
('67611', '33.00'),
('30897', '26.00'),
('74045', '24.00'),
('11144', '11.00'),
('65165', '16.00'),
('18692', '29.00'),
('21329', '40.00'),
('80932', '41.00'),
('92794', '11.00'),
('97914', '35.00'),
('23142', '41.00'),
('97492', '6.00'),
('26697', '20.00'),
('23522', '32.00'),
('30913', '15.00'),
('72510', '19.00'),
('77233', '29.00'),
('23287', '26.00'),
('29627', '41.00'),
('73090', '17.00'),
('87391', '45.00'),
('65997', '37.00'),
('68254', '43.00'),
('19377', '48.00'),
('84043', '49.00'),
('85958', '4.00'),
('48776', '12.00'),
('35624', '45.00'),
('33995', '48.00'),
('13156', '29.00'),
('19997', '33.00'),
('59736', '34.00'),
('57414', '39.00'),
('53551', '13.00'),
('29783', '10.00'),
('15389', '24.00'),
('22698', '42.00'),
('67082', '33.00'),
('38612', '8.00'),
('59988', '40.00'),
('53406', '4.00'),
('17890', '31.00'),
('43019', '44.00'),
('34391', '24.00'),
('29287', '25.00'),
('75562', '38.00'),
('55510', '36.00'),
('78480', '29.00'),
('96532', '29.00'),
('18973', '17.00'),
('83316', '42.00'),
('18415', '11.00'),
('40978', '36.00'),
('96505', '15.00'),
('68589', '20.00'),
('52493', '5.00'),
('30759', '29.00'),
('14368', '31.00'),
('92081', '30.00'),
('36572', '14.00'),
('82986', '4.00'),
('24778', '1.00'),
('22430', '11.00'),
('72357', '10.00'),
('42703', '26.00'),
('64014', '32.00'),
('25602', '15.00'),
('67913', '28.00'),
('72892', '6.00'),
('45700', '21.00'),
('83905', '1.00'),
('30571', '29.00'),
('51771', '18.00'),
('50586', '40.00'),
('15899', '30.00'),
('68104', '5.00'),
('37886', '7.00'),
('67450', '37.00'),
('77817', '27.00'),
('87611', '12.00'),
('77783', '15.00'),
('17227', '3.00'),
('84324', '6.00'),
('61724', '14.00'),
('45043', '11.00'),
('98312', '34.00'),
('61148', '6.00'),
('92175', '45.00'),
('67739', '30.00'),
('46149', '32.00'),
('16126', '47.00'),
('35237', '34.00'),
('41273', '18.00'),
('46036', '22.00'),
('47938', '44.00'),
('56024', '24.00'),
('82159', '17.00'),
('96133', '5.00'),
('59127', '31.00'),
('31673', '47.00'),
('45341', '47.00'),
('76148', '42.00'),
('75748', '22.00'),
('89596', '5.00'),
('17856', '11.00'),
('54570', '50.00'),
('90572', '42.00'),
('80633', '5.00'),
('72395', '35.00'),
('82801', '38.00'),
('12721', '47.00'),
('56258', '13.00'),
('55857', '38.00'),
('92943', '8.00'),
('25365', '43.00'),
('10713', '12.00'),
('68354', '24.00'),
('16458', '21.00'),
('70459', '18.00'),
('92443', '7.00'),
('73241', '40.00'),
('18362', '20.00'),
('21654', '27.00'),
('24329', '12.00'),
('28299', '36.00'),
('97049', '39.00'),
('52234', '41.00'),
('30548', '15.00'),
('90756', '47.00'),
('95004', '7.00'),
('96433', '48.00'),
('31050', '27.00'),
('33483', '5.00'),
('45750', '8.00'),
('84496', '27.00'),
('23830', '45.00'),
('22448', '2.00'),
('95692', '46.00'),
('34032', '18.00'),
('66367', '36.00'),
('39232', '26.00'),
('77389', '9.00'),
('42552', '22.00'),
('43628', '12.00'),
('48723', '23.00'),
('86189', '2.00'),
('78301', '24.00'),
('67310', '17.00'),
('67278', '39.00'),
('69773', '22.00'),
('19767', '40.00'),
('61005', '15.00'),
('75200', '48.00'),
('10292', '49.00'),
('84327', '7.00'),
('62976', '35.00'),
('30413', '17.00'),
('27260', '36.00'),
('71088', '49.00'),
('92623', '27.00'),
('84558', '49.00'),
('12205', '32.00'),
('97658', '36.00'),
('94052', '31.00'),
('38761', '25.00'),
('32571', '15.00'),
('39812', '24.00'),
('91784', '36.00'),
('63020', '33.00'),
('52378', '41.00'),
('69989', '15.00'),
('15681', '18.00'),
('67016', '22.00'),
('99263', '13.00'),
('98167', '7.00'),
('12332', '38.00'),
('86042', '25.00'),
('81823', '14.00'),
('86126', '45.00'),
('57080', '12.00'),
('43101', '20.00'),
('46455', '20.00'),
('80475', '49.00'),
('36167', '36.00'),
('30506', '9.00'),
('53706', '46.00'),
('80936', '35.00'),
('84441', '35.00'),
('54859', '37.00'),
('54657', '44.00'),
('60273', '26.00'),
('11902', '7.00'),
('63331', '18.00'),
('42987', '2.00'),
('59657', '30.00'),
('13140', '47.00'),
('12955', '18.00'),
('13562', '22.00'),
('44888', '2.00'),
('45664', '3.00'),
('97367', '9.00'),
('41936', '40.00'),
('77409', '35.00'),
('74502', '40.00'),
('78160', '6.00'),
('82067', '26.00'),
('42282', '11.00'),
('68047', '49.00'),
('77577', '4.00'),
('22541', '35.00'),
('51813', '48.00'),
('32222', '8.00'),
('70075', '6.00'),
('59905', '9.00'),
('98552', '42.00'),
('73721', '17.00'),
('23711', '25.00'),
('44122', '23.00'),
('54964', '6.00'),
('22909', '12.00'),
('59790', '41.00'),
('67510', '13.00'),
('34789', '49.00'),
('46167', '45.00'),
('83820', '21.00'),
('60762', '35.00'),
('79935', '48.00'),
('52803', '21.00'),
('55472', '21.00'),
('64076', '9.00'),
('30339', '37.00'),
('64879', '16.00'),
('34007', '9.00'),
('36972', '31.00'),
('15520', '18.00'),
('34721', '34.00'),
('62118', '25.00'),
('52787', '19.00'),
('75306', '40.00'),
('17693', '45.00'),
('75900', '33.00'),
('31273', '29.00'),
('59143', '11.00'),
('21336', '13.00'),
('67515', '44.00'),
('81620', '30.00'),
('12419', '44.00'),
('71626', '40.00'),
('52101', '25.00'),
('70653', '14.00'),
('54428', '30.00'),
('60496', '18.00'),
('25802', '50.00'),
('81103', '4.00'),
('70259', '19.00'),
('63287', '36.00'),
('58698', '8.00'),
('81537', '28.00'),
('99059', '42.00'),
('48844', '1.00'),
('48164', '14.00'),
('88149', '50.00'),
('57665', '45.00'),
('35366', '16.00'),
('58740', '14.00'),
('84003', '44.00'),
('52245', '17.00'),
('20727', '44.00'),
('83094', '50.00'),
('84405', '38.00'),
('74758', '15.00'),
('19526', '42.00'),
('88342', '19.00'),
('56513', '37.00'),
('12252', '45.00'),
('25814', '27.00'),
('41735', '8.00'),
('39164', '7.00'),
('80274', '3.00'),
('39140', '37.00'),
('82695', '29.00'),
('67772', '43.00'),
('98454', '4.00'),
('29344', '35.00'),
('83256', '9.00'),
('35075', '31.00'),
('44581', '39.00'),
('67864', '1.00'),
('31356', '10.00'),
('33987', '42.00'),
('12776', '4.00'),
('43998', '5.00'),
('61885', '8.00'),
('34498', '14.00'),
('87725', '1.00'),
('79334', '16.00'),
('64949', '43.00'),
('58358', '41.00'),
('81782', '45.00'),
('62049', '25.00'),
('46448', '3.00'),
('12216', '16.00'),
('92976', '20.00'),
('72517', '2.00'),
('98662', '6.00'),
('18278', '41.00'),
('10375', '24.00'),
('73565', '11.00'),
('92292', '31.00'),
('47848', '29.00'),
('15053', '44.00'),
('22203', '3.00'),
('79414', '14.00'),
('71648', '6.00'),
('67466', '16.00'),
('66145', '16.00'),
('36077', '40.00'),
('35690', '44.00'),
('55673', '41.00'),
('70719', '48.00'),
('68096', '18.00'),
('44757', '39.00'),
('95834', '10.00'),
('18202', '43.00'),
('18920', '12.00'),
('39355', '41.00'),
('40198', '30.00'),
('13652', '41.00'),
('96825', '4.00'),
('95625', '44.00'),
('28392', '49.00'),
('57656', '24.00'),
('73909', '44.00'),
('33350', '21.00'),
('53782', '48.00'),
('29485', '9.00'),
('92473', '50.00'),
('75629', '19.00'),
('34272', '12.00'),
('80347', '16.00'),
('77011', '23.00'),
('87500', '21.00'),
('97568', '9.00'),
('34638', '22.00'),
('71832', '26.00'),
('79480', '26.00'),
('75412', '34.00'),
('43528', '16.00'),
('31902', '40.00'),
('66371', '27.00'),
('20014', '42.00'),
('48970', '4.00'),
('18876', '9.00'),
('99345', '22.00'),
('32179', '19.00'),
('38654', '1.00'),
('47608', '32.00'),
('74273', '43.00'),
('15617', '27.00'),
('65812', '28.00'),
('98738', '6.00'),
('73899', '18.00'),
('87995', '25.00'),
('71169', '43.00'),
('23158', '20.00'),
('40339', '48.00'),
('53147', '18.00'),('67588', '20.00'),
('62402', '42.00'),
('40347', '1.00'),
('69215', '35.00'),
('15323', '29.00'),
('86528', '42.00'),
('14975', '9.00'),
('66064', '30.00'),
('85182', '35.00'),
('60334', '20.00'),
('80355', '38.00'),
('48927', '20.00'),
('73034', '41.00'),
('84634', '25.00'),
('27370', '22.00'),
('13435', '17.00'),
('81825', '36.00'),
('98731', '39.00'),
('70052', '5.00'),
('67037', '35.00'),
('35069', '11.00'),
('76096', '17.00'),
('91104', '42.00'),
('79526', '9.00'),
('66411', '7.00'),
('40856', '42.00'),
('81132', '9.00'),
('16506', '37.00'),
('26885', '30.00'),
('11081', '41.00'),
('63566', '39.00'),
('44874', '43.00'),
('13331', '34.00'),
('71867', '4.00'),
('12538', '37.00'),
('23113', '33.00'),
('74625', '50.00'),
('11377', '10.00'),
('43412', '16.00'),
('88814', '33.00'),
('45072', '50.00'),
('69185', '40.00'),
('25881', '30.00'),
('63493', '27.00'),
('96977', '2.00'),
('21972', '13.00'),
('36949', '22.00'),
('84731', '46.00'),
('35106', '4.00'),
('32282', '30.00'),
('76687', '46.00'),
('79368', '26.00'),
('79779', '46.00'),
('52611', '46.00'),
('69484', '11.00'),
('75196', '4.00'),
('90282', '43.00'),
('65338', '24.00'),
('62231', '16.00'),
('74287', '3.00'),
('32089', '36.00'),
('89958', '2.00'),
('43595', '46.00'),
('17778', '27.00'),
('48460', '28.00'),
('21634', '1.00'),
('11276', '45.00'),
('33267', '12.00'),
('15625', '14.00'),
('23003', '12.00'),
('97345', '27.00'),
('49435', '16.00'),
('27351', '49.00'),
('48927', '6.00'),
('85583', '33.00'),
('20872', '37.00'),
('27399', '27.00'),
('64572', '28.00'),
('68973', '14.00'),
('71397', '27.00'),
('32085', '11.00'),
('40406', '48.00'),
('87341', '50.00'),
('65573', '49.00'),
('17761', '48.00'),
('19469', '4.00'),
('63992', '40.00'),
('74696', '36.00'),
('65046', '29.00'),
('97248', '6.00'),
('84610', '33.00'),
('18940', '24.00'),
('70856', '50.00'),
('83328', '27.00'),
('61392', '47.00'),
('63320', '25.00'),
('77151', '38.00'),
('30651', '13.00'),
('43971', '7.00'),
('20115', '34.00'),
('75525', '1.00'),
('57084', '30.00'),
('82505', '20.00'),
('80638', '32.00'),
('67773', '20.00'),
('54380', '28.00'),
('58509', '41.00'),
('93239', '45.00'),
('12099', '11.00'),
('95881', '20.00'),
('39042', '28.00'),
('50967', '29.00'),
('59433', '22.00'),
('20546', '24.00'),
('21182', '13.00'),
('69347', '30.00'),
('62315', '13.00'),
('44086', '44.00'),
('22749', '44.00'),
('27557', '10.00'),
('77377', '11.00'),
('46692', '29.00'),
('93247', '30.00'),
('86353', '39.00'),
('98993', '8.00'),
('46078', '12.00'),
('42858', '17.00'),
('45195', '33.00'),
('69143', '7.00'),
('42804', '42.00'),
('37750', '15.00'),
('50486', '33.00'),
('71429', '3.00'),
('96023', '19.00'),
('36896', '31.00'),
('34121', '8.00'),
('35350', '28.00'),
('12972', '22.00'),
('72160', '37.00'),
('28792', '5.00'),
('60242', '8.00'),
('80442', '22.00'),
('43999', '50.00'),
('59737', '29.00'),
('63005', '14.00'),
('48484', '21.00'),
('46090', '2.00'),
('57678', '47.00'),
('65769', '22.00'),
('52457', '43.00'),
('50572', '50.00'),
('31442', '35.00'),
('17212', '20.00'),
('24054', '4.00'),
('25253', '3.00'),
('64907', '10.00'),
('51888', '22.00'),
('36523', '28.00'),
('16031', '13.00'),
('66400', '19.00'),
('87801', '42.00'),
('94089', '40.00'),
('65817', '24.00'),
('21670', '1.00'),
('49468', '27.00'),
('68642', '48.00'),
('14363', '43.00'),
('27680', '5.00'),
('19852', '44.00'),
('80831', '17.00'),
('96510', '11.00'),
('39559', '41.00'),
('89090', '22.00'),
('62670', '5.00'),
('40858', '23.00'),
('10530', '26.00'),
('33258', '39.00'),
('54985', '48.00'),
('28484', '48.00'),
('52782', '4.00'),
('99420', '43.00'),
('20320', '26.00'),
('96648', '19.00'),
('52797', '50.00'),
('62714', '10.00'),
('25139', '23.00'),
('34890', '12.00'),
('87168', '35.00'),
('10413', '20.00'),
('48424', '34.00'),
('21851', '16.00'),
('26003', '9.00'),
('92209', '2.00'),
('25379', '45.00'),
('19686', '32.00'),
('66343', '35.00'),
('28377', '36.00'),
('44490', '15.00'),
('42502', '16.00'),
('34872', '44.00'),
('43276', '30.00'),
('11268', '29.00'),
('85393', '23.00'),
('54272', '22.00'),
('27741', '15.00'),
('21993', '29.00'),
('11633', '38.00'),
('24052', '48.00'),
('79360', '3.00'),
('34807', '32.00'),
('25305', '45.00'),
('89137', '5.00'),
('38289', '44.00'),
('30317', '30.00'),
('11204', '36.00'),
('11661', '6.00'),
('56601', '46.00'),
('87666', '2.00'),
('85337', '45.00'),
('14647', '24.00'),
('62454', '48.00'),
('16721', '31.00'),
('50851', '26.00'),
('78494', '31.00'),
('87310', '14.00'),
('66545', '25.00'),
('10584', '27.00'),
('74251', '46.00'),
('39303', '23.00'),
('13204', '18.00'),
('90108', '34.00'),
('71505', '29.00'),
('51294', '39.00'),
('85205', '1.00'),
('49465', '19.00'),
('59412', '18.00'),
('60406', '40.00'),
('85180', '28.00'),
('80812', '49.00'),
('10768', '24.00'),
('49962', '15.00'),
('78072', '12.00'),
('58296', '28.00'),
('92800', '30.00'),
('75108', '42.00'),
('47581', '50.00'),
('34395', '4.00'),
('78824', '12.00'),
('87750', '33.00'),
('74854', '7.00'),
('80379', '42.00'),
('11644', '45.00'),
('73804', '3.00'),
('22658', '24.00'),
('38251', '35.00'),
('65144', '10.00'),
('95537', '35.00'),
('36752', '19.00'),
('41206', '31.00'),
('69266', '31.00'),
('10017', '21.00'),
('35722', '37.00'),
('11295', '8.00'),
('19982', '39.00'),
('74554', '5.00'),
('79967', '36.00'),
('71543', '9.00'),
('49113', '35.00'),
('38166', '14.00'),
('10050', '24.00'),
('88052', '7.00'),
('91162', '1.00'),
('77027', '18.00'),
('53591', '38.00'),
('59219', '23.00'),
('72519', '28.00'),
('77232', '45.00'),
('32600', '47.00'),
('71407', '43.00'),
('39279', '6.00'),
('29122', '7.00'),
('19492', '38.00'),
('64565', '20.00'),
('13810', '22.00'),
('60371', '17.00'),
('84229', '41.00'),
('50127', '24.00'),
('86433', '30.00'),
('75953', '31.00'),
('68504', '14.00'),
('74903', '12.00'),
('19078', '36.00'),
('14858', '47.00'),
('61793', '16.00'),
('90484', '44.00'),
('18582', '4.00'),
('39100', '46.00'),
('56958', '37.00'),
('63076', '34.00'),
('42563', '12.00'),
('18137', '48.00'),
('68081', '28.00'),
('61924', '34.00'),
('44560', '6.00'),
('85779', '34.00'),
('28973', '42.00'),
('85683', '40.00'),
('19350', '28.00'),
('44063', '39.00'),
('26794', '7.00'),
('87630', '17.00'),
('49642', '28.00'),
('28929', '22.00'),
('42162', '49.00'),
('97945', '28.00'),
('72392', '33.00'),
('23575', '22.00'),
('82087', '35.00'),
('89625', '29.00'),
('76669', '7.00'),
('12898', '47.00'),
('20271', '7.00'),
('65805', '15.00'),
('38305', '48.00'),
('20234', '8.00'),
('66809', '27.00'),
('32413', '29.00'),
('71118', '30.00'),
('71618', '1.00'),
('40142', '43.00'),
('96368', '26.00'),
('71169', '37.00'),
('94784', '44.00'),
('92046', '11.00'),
('87804', '35.00'),
('17103', '11.00'),
('88454', '48.00'),
('19799', '43.00'),
('10019', '7.00'),
('33652', '46.00'),
('34873', '35.00'),
('95309', '41.00'),
('18504', '17.00'),
('53533', '17.00'),
('46456', '49.00'),
('28187', '32.00'),
('19006', '30.00'),
('61276', '34.00'),
('44471', '16.00'),
('57917', '14.00'),
('26046', '40.00'),
('93139', '13.00'),
('23855', '20.00'),
('22925', '15.00'),
('54502', '6.00'),
('22104', '1.00'),
('76140', '16.00'),
('58114', '7.00'),
('62335', '46.00'),
('44332', '22.00'),
('94486', '29.00'),
('64666', '27.00'),
('49079', '39.00'),
('29939', '27.00'),
('30553', '17.00'),
('57681', '48.00'),
